ano,id_municipio,area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia
2000,1100015,7137.0,1761.1,,3639.6,0.0,6.1,1708.0,22.2
2001,1100015,7137.0,1834.2,73.1,3566.5,0.0,6.1,1708.0,22.2
2002,1100015,7137.0,1948.9,114.7,3451.8,0.0,6.1,1708.0,22.2
2003,1100015,7137.0,2014.9,66.0,3385.8,0.0,6.1,1708.0,22.2
2004,1100015,7137.0,2092.0,77.1,3308.7,0.0,6.1,1708.0,22.2
2005,1100015,7137.0,2173.6,81.6,3227.1,0.0,6.1,1708.0,22.2
2006,1100015,7137.0,2195.0,21.4,3205.7,0.0,6.1,1708.0,22.2
2007,1100015,7137.0,2210.8,15.8,3189.6,0.0,6.4,1708.0,22.2
2008,1100015,7137.0,2237.6,26.9,2993.7,166.1,9.4,1708.0,22.2
2009,1100015,7137.0,2242.7,5.1,3155.3,0.0,8.8,1708.0,22.2
2010,1100015,7137.0,2244.5,1.8,3151.8,1.7,8.8,1708.0,22.2
2011,1100015,7137.0,2251.3,6.8,3143.1,3.8,8.6,1708.0,22.2
2012,1100015,7137.0,2256.3,5.1,3145.7,0.1,4.7,1708.0,22.2
2013,1100015,7137.0,2262.9,6.5,3083.9,55.5,4.5,1708.0,22.2
2014,1100015,7137.0,2273.1,10.2,3128.8,0.0,4.9,1708.0,22.2
2015,1100015,7137.0,2278.1,5.0,3128.7,0.0,0.0,1708.0,22.2
2016,1100015,7137.0,2294.0,15.9,3109.4,0.0,3.4,1708.0,22.2
2017,1100015,7137.0,2313.8,19.8,3093.0,0.0,0.0,1708.0,22.2
2018,1100015,7137.0,2327.9,14.0,3078.9,0.0,0.0,1708.0,22.2
2019,1100015,7137.0,2360.4,32.4,3046.4,0.0,0.0,1708.0,22.2
2000,1100023,4481.0,2661.2,,1730.0,0.0,0.0,89.6,0.2
2001,1100023,4481.0,2740.1,78.9,1651.1,0.0,0.0,89.6,0.2
2002,1100023,4481.0,2865.5,125.4,1525.7,0.0,0.0,89.6,0.2
2003,1100023,4481.0,2932.4,66.9,1458.8,0.0,0.0,89.6,0.2
2004,1100023,4481.0,3018.4,86.0,1372.8,0.0,0.0,89.6,0.2
2005,1100023,4481.0,3103.7,85.3,1287.5,0.0,0.0,89.6,0.2
2006,1100023,4481.0,3121.2,17.5,1269.8,0.2,0.0,89.6,0.2
2007,1100023,4481.0,3153.5,32.3,1237.7,0.0,0.0,89.6,0.2
2008,1100023,4481.0,3161.9,8.4,1229.3,0.0,0.0,89.6,0.2
2009,1100023,4481.0,3170.6,8.8,1220.6,0.0,0.0,89.6,0.2
2010,1100023,4481.0,3175.0,4.3,1216.2,0.0,0.0,89.6,0.2
2011,1100023,4481.0,3178.9,3.9,1207.4,4.9,0.0,89.6,0.2
2012,1100023,4481.0,3186.1,7.2,1205.0,0.1,0.0,89.6,0.2
2013,1100023,4481.0,3198.5,12.4,1189.0,3.7,0.0,89.6,0.2
2014,1100023,4481.0,3208.9,10.4,1182.3,0.0,0.0,89.6,0.2
2015,1100023,4481.0,3219.1,10.2,1172.1,0.0,0.0,89.6,0.2
2016,1100023,4481.0,3243.0,23.9,1148.2,0.0,0.0,89.6,0.2
2017,1100023,4481.0,3264.2,21.2,1127.0,0.0,0.0,89.6,0.2
2018,1100023,4481.0,3281.9,17.7,1109.3,0.0,0.0,89.6,0.2
2019,1100023,4481.0,3300.8,18.9,1090.4,0.0,0.0,89.6,0.2
2000,1100031,1322.0,851.2,,455.2,0.0,0.6,11.3,3.7
2001,1100031,1322.0,881.3,30.1,425.1,0.0,0.6,11.3,3.7
2002,1100031,1322.0,893.0,11.7,413.4,0.0,0.6,11.3,3.7
2003,1100031,1322.0,920.5,27.5,385.9,0.0,0.6,11.3,3.7
2004,1100031,1322.0,942.3,21.8,364.1,0.0,0.6,11.3,3.7
2005,1100031,1322.0,959.7,17.4,346.7,0.0,0.6,11.3,3.7
2006,1100031,1322.0,960.3,0.6,346.1,0.0,0.6,11.3,3.7
2007,1100031,1322.0,965.5,5.2,340.8,0.0,0.7,11.3,3.7
2008,1100031,1322.0,969.3,3.8,335.5,0.0,2.2,11.3,3.7
2009,1100031,1322.0,970.2,0.9,269.1,66.7,1.0,11.3,3.7
2010,1100031,1322.0,971.4,1.2,334.9,0.0,0.7,11.3,3.7
2011,1100031,1322.0,972.2,0.8,334.2,0.0,0.6,11.3,3.7
2012,1100031,1322.0,973.2,0.9,333.3,0.0,0.5,11.3,3.7
2013,1100031,1322.0,974.6,1.4,332.2,0.0,0.2,11.3,3.7
2014,1100031,1322.0,979.6,5.0,326.5,0.0,0.9,11.3,3.7
2015,1100031,1322.0,986.8,7.2,320.2,0.0,0.0,11.3,3.7
2016,1100031,1322.0,993.6,6.8,313.2,0.0,0.2,11.3,3.7
2017,1100031,1322.0,995.4,1.9,311.6,0.0,0.0,11.3,3.7
2018,1100031,1322.0,998.8,3.3,308.2,0.0,0.0,11.3,3.7
2019,1100031,1322.0,1003.5,4.7,303.5,0.0,0.0,11.3,3.7
2000,1100049,3821.0,2311.3,,1477.7,0.0,0.0,26.2,5.8
2001,1100049,3821.0,2330.5,19.2,1458.5,0.0,0.0,26.2,5.8
2002,1100049,3821.0,2347.6,17.1,1441.4,0.0,0.0,26.2,5.8
2003,1100049,3821.0,2382.7,35.2,1406.3,0.0,0.0,26.2,5.8
2004,1100049,3821.0,2427.1,44.4,1361.9,0.0,0.0,26.2,5.8
2005,1100049,3821.0,2466.5,39.4,1322.5,0.0,0.0,26.2,5.8
2006,1100049,3821.0,2471.1,4.6,1317.9,0.0,0.0,26.2,5.8
2007,1100049,3821.0,2481.5,10.4,1307.5,0.0,0.0,26.2,5.8
2008,1100049,3821.0,2486.0,4.6,1303.0,0.0,0.0,26.2,5.8
2009,1100049,3821.0,2489.1,3.1,1270.6,29.3,0.0,26.2,5.8
2010,1100049,3821.0,2490.9,1.7,1295.4,2.7,0.0,26.2,5.8
2011,1100049,3821.0,2493.3,2.4,1295.7,0.0,0.0,26.2,5.8
2012,1100049,3821.0,2497.0,3.7,1291.6,0.4,0.0,26.2,5.8
2013,1100049,3821.0,2498.8,1.8,1290.2,0.0,0.0,26.2,5.8
2014,1100049,3821.0,2503.1,4.3,1285.9,0.0,0.0,26.2,5.8
2015,1100049,3821.0,2505.4,2.3,1283.6,0.0,0.0,26.2,5.8
2016,1100049,3821.0,2508.3,2.9,1280.7,0.0,0.0,26.2,5.8
2017,1100049,3821.0,2518.0,9.7,1271.0,0.0,0.0,26.2,5.8
2018,1100049,3821.0,2523.2,5.2,1262.9,2.9,0.0,26.2,5.8
2019,1100049,3821.0,2529.2,6.0,1259.8,0.0,0.0,26.2,5.8
2000,1100056,2805.0,731.3,,829.3,0.0,0.0,1244.4,0.0
2001,1100056,2805.0,739.2,8.0,821.4,0.0,0.0,1244.4,0.0
2002,1100056,2805.0,741.6,2.4,819.0,0.0,0.0,1244.4,0.0
2003,1100056,2805.0,751.5,9.8,809.1,0.0,0.0,1244.4,0.0
2004,1100056,2805.0,770.3,18.8,790.3,0.0,0.0,1244.4,0.0
2005,1100056,2805.0,787.9,17.6,772.7,0.0,0.0,1244.4,0.0
2006,1100056,2805.0,791.6,3.7,769.0,0.0,0.0,1244.4,0.0
2007,1100056,2805.0,796.2,4.5,764.4,0.0,0.0,1244.4,0.0
2008,1100056,2805.0,798.3,2.1,762.3,0.0,0.0,1244.4,0.0
2009,1100056,2805.0,798.9,0.6,761.7,0.0,0.0,1244.4,0.0
2010,1100056,2805.0,799.9,1.0,760.7,0.0,0.0,1244.4,0.0
2011,1100056,2805.0,801.6,1.7,759.0,0.0,0.0,1244.4,0.0
2012,1100056,2805.0,802.8,1.2,757.8,0.0,0.0,1244.4,0.0
2013,1100056,2805.0,803.5,0.6,757.1,0.0,0.0,1244.4,0.0
2014,1100056,2805.0,806.1,2.6,754.5,0.0,0.0,1244.4,0.0
2015,1100056,2805.0,809.1,3.0,751.5,0.0,0.0,1244.4,0.0
2016,1100056,2805.0,815.5,6.4,745.1,0.0,0.0,1244.4,0.0
2017,1100056,2805.0,817.1,1.7,743.5,0.0,0.0,1244.4,0.0
2018,1100056,2805.0,818.1,0.9,742.5,0.0,0.0,1244.4,0.0
2019,1100056,2805.0,819.1,1.1,741.5,0.0,0.0,1244.4,0.0
2000,1100064,1460.0,1144.4,,261.7,0.0,0.0,53.9,0.0
2001,1100064,1460.0,1148.4,4.0,257.7,0.0,0.0,53.9,0.0
2002,1100064,1460.0,1150.1,1.7,256.0,0.0,0.0,53.9,0.0
2003,1100064,1460.0,1155.4,5.2,250.7,0.0,0.0,53.9,0.0
2004,1100064,1460.0,1166.3,10.9,239.8,0.0,0.0,53.9,0.0
2005,1100064,1460.0,1183.0,16.7,223.1,0.0,0.0,53.9,0.0
2006,1100064,1460.0,1183.8,0.8,222.3,0.0,0.0,53.9,0.0
2007,1100064,1460.0,1185.7,1.9,220.4,0.0,0.0,53.9,0.0
2008,1100064,1460.0,1187.5,1.8,218.6,0.0,0.0,53.9,0.0
2009,1100064,1460.0,1188.4,0.9,217.4,0.3,0.0,53.9,0.0
2010,1100064,1460.0,1188.5,0.1,217.6,0.0,0.0,53.9,0.0
2011,1100064,1460.0,1189.2,0.7,216.9,0.0,0.0,53.9,0.0
2012,1100064,1460.0,1189.4,0.1,216.7,0.0,0.0,53.9,0.0
2013,1100064,1460.0,1189.9,0.5,216.2,0.0,0.0,53.9,0.0
2014,1100064,1460.0,1190.5,0.5,215.6,0.0,0.0,53.9,0.0
2015,1100064,1460.0,1196.0,5.6,210.1,0.0,0.0,53.9,0.0
2016,1100064,1460.0,1197.3,1.2,208.8,0.0,0.0,53.9,0.0
2017,1100064,1460.0,1199.4,2.1,206.7,0.0,0.0,53.9,0.0
2018,1100064,1460.0,1199.9,0.5,206.2,0.0,0.0,53.9,0.0
2019,1100064,1460.0,1201.8,1.9,204.3,0.0,0.0,53.9,0.0
2000,1100072,3081.0,1994.3,,987.3,0.0,0.0,99.4,0.0
2001,1100072,3081.0,2006.2,11.9,975.4,0.0,0.0,99.4,0.0
2002,1100072,3081.0,2013.3,7.1,968.3,0.0,0.0,99.4,0.0
2003,1100072,3081.0,2083.3,70.1,898.3,0.0,0.0,99.4,0.0
2004,1100072,3081.0,2092.8,9.4,888.8,0.0,0.0,99.4,0.0
2005,1100072,3081.0,2131.8,39.0,849.8,0.0,0.0,99.4,0.0
2006,1100072,3081.0,2133.8,2.0,847.8,0.0,0.0,99.4,0.0
2007,1100072,3081.0,2138.4,4.6,843.2,0.0,0.0,99.4,0.0
2008,1100072,3081.0,2142.9,4.5,838.7,0.0,0.0,99.4,0.0
2009,1100072,3081.0,2143.8,0.9,835.4,2.4,0.0,99.4,0.0
2010,1100072,3081.0,2145.2,1.4,836.4,0.0,0.0,99.4,0.0
2011,1100072,3081.0,2148.5,3.3,833.1,0.0,0.0,99.4,0.0
2012,1100072,3081.0,2150.9,2.4,830.7,0.0,0.0,99.4,0.0
2013,1100072,3081.0,2151.6,0.7,830.0,0.0,0.0,99.4,0.0
2014,1100072,3081.0,2153.3,1.7,828.3,0.0,0.0,99.4,0.0
2015,1100072,3081.0,2156.6,3.3,825.0,0.0,0.0,99.4,0.0
2016,1100072,3081.0,2158.4,1.7,823.2,0.0,0.0,99.4,0.0
2017,1100072,3081.0,2161.2,2.9,820.4,0.0,0.0,99.4,0.0
2018,1100072,3081.0,2168.1,6.9,813.5,0.0,0.0,99.4,0.0
2019,1100072,3081.0,2172.0,3.9,809.6,0.0,0.0,99.4,0.0
2000,1100080,5058.0,687.0,,3741.1,0.0,50.2,558.9,20.8
2001,1100080,5058.0,784.6,97.5,3643.5,0.0,50.2,558.9,20.8
2002,1100080,5058.0,926.8,142.3,3501.3,0.0,50.2,558.9,20.8
2003,1100080,5058.0,1077.2,150.3,3350.9,0.0,50.2,558.9,20.8
2004,1100080,5058.0,1260.5,183.4,3167.6,0.0,50.2,558.9,20.8
2005,1100080,5058.0,1363.2,102.6,3064.9,0.0,50.2,558.9,20.8
2006,1100080,5058.0,1446.5,83.3,2981.6,0.0,50.2,558.9,20.8
2007,1100080,5058.0,1501.7,55.2,2924.1,0.0,52.5,558.9,20.8
2008,1100080,5058.0,1605.4,103.7,2430.4,376.3,66.2,558.9,20.8
2009,1100080,5058.0,1624.0,18.5,2709.1,83.2,62.0,558.9,20.8
2010,1100080,5058.0,1645.7,21.7,2758.2,16.0,58.4,558.9,20.8
2011,1100080,5058.0,1663.5,17.8,2740.3,16.9,57.6,558.9,20.8
2012,1100080,5058.0,1681.0,17.6,2745.9,0.4,51.0,558.9,20.8
2013,1100080,5058.0,1711.9,30.9,2744.6,0.0,21.8,558.9,20.8
2014,1100080,5058.0,1726.7,14.8,2700.9,0.1,50.6,558.9,20.8
2015,1100080,5058.0,1751.2,24.4,2727.1,0.0,0.0,558.9,20.8
2016,1100080,5058.0,1776.2,25.0,2688.0,0.0,14.1,558.9,20.8
2017,1100080,5058.0,1807.6,31.4,2670.7,0.0,0.0,558.9,20.8
2018,1100080,5058.0,1833.8,31.1,2644.5,0.0,0.0,558.9,20.8
2019,1100080,5058.0,1881.3,47.6,2597.0,0.0,0.0,558.9,20.8
2000,1100098,4551.0,1808.3,,2445.9,0.0,0.0,296.5,0.3
2001,1100098,4551.0,1849.1,40.8,2405.1,0.0,0.0,296.5,0.3
2002,1100098,4551.0,1872.9,23.8,2381.3,0.0,0.0,296.5,0.3
2003,1100098,4551.0,1929.8,56.9,2324.4,0.0,0.0,296.5,0.3
2004,1100098,4551.0,1982.2,52.5,2272.0,0.0,0.0,296.5,0.3
2005,1100098,4551.0,2049.8,67.6,2204.4,0.0,0.0,296.5,0.3
2006,1100098,4551.0,2052.9,3.1,2201.3,0.0,0.0,296.5,0.3
2007,1100098,4551.0,2069.2,16.2,2185.0,0.0,0.0,296.5,0.3
2008,1100098,4551.0,2079.9,10.7,2174.3,0.0,0.0,296.5,0.3
2009,1100098,4551.0,2084.6,4.7,2001.3,168.3,0.0,296.5,0.3
2010,1100098,4551.0,2087.7,3.1,2166.5,0.0,0.0,296.5,0.3
2011,1100098,4551.0,2089.2,1.5,2165.0,0.0,0.0,296.5,0.3
2012,1100098,4551.0,2096.8,7.6,2157.0,0.4,0.0,296.5,0.3
2013,1100098,4551.0,2099.2,2.4,2155.0,0.0,0.0,296.5,0.3
2014,1100098,4551.0,2101.9,2.8,2152.3,0.0,0.0,296.5,0.3
2015,1100098,4551.0,2103.4,1.5,2150.8,0.0,0.0,296.5,0.3
2016,1100098,4551.0,2105.8,2.4,2148.4,0.0,0.0,296.5,0.3
2017,1100098,4551.0,2111.0,5.2,2143.2,0.0,0.0,296.5,0.3
2018,1100098,4551.0,2116.8,5.8,2137.4,0.0,0.0,296.5,0.3
2019,1100098,4551.0,2123.6,6.9,2130.6,0.0,0.0,296.5,0.3
2000,1100106,25260.0,1152.5,,20070.3,0.0,72.0,3798.4,166.8
2001,1100106,25260.0,1200.5,48.0,20022.3,0.0,72.0,3798.4,166.8
2002,1100106,25260.0,1208.3,7.8,20014.5,0.0,72.0,3798.4,166.8
2003,1100106,25260.0,1246.8,38.5,19976.0,0.0,72.0,3798.4,166.8
2004,1100106,25260.0,1324.4,77.6,19898.4,0.0,72.0,3798.4,166.8
2005,1100106,25260.0,1370.4,46.0,19852.4,0.0,72.0,3798.4,166.8
2006,1100106,25260.0,1388.8,18.4,19528.9,305.1,72.0,3798.4,166.8
2007,1100106,25260.0,1397.3,8.5,19665.7,149.5,82.3,3798.4,166.8
2008,1100106,25260.0,1414.2,16.9,19786.1,0.0,94.5,3798.4,166.8
2009,1100106,25260.0,1422.2,8.0,18514.8,1272.7,85.1,3798.4,166.8
2010,1100106,25260.0,1425.9,3.7,19061.7,726.4,80.8,3798.4,166.8
2011,1100106,25260.0,1432.3,6.3,19781.8,0.0,80.7,3798.4,166.8
2012,1100106,25260.0,1439.1,6.8,19789.7,0.1,65.9,3798.4,166.8
2013,1100106,25260.0,1463.6,24.5,19756.0,5.2,70.0,3798.4,166.8
2014,1100106,25260.0,1474.0,10.4,19579.5,173.8,67.5,3798.4,166.8
2015,1100106,25260.0,1495.4,21.3,19253.4,546.0,0.0,3798.4,166.8
2016,1100106,25260.0,1508.6,13.2,19728.0,0.0,58.2,3798.4,166.8
2017,1100106,25260.0,1512.9,4.3,19781.9,0.0,0.0,3798.4,166.8
2018,1100106,25260.0,1528.9,16.1,19492.6,273.3,0.0,3798.4,166.8
2019,1100106,25260.0,1551.6,22.6,19743.2,0.0,0.0,3798.4,166.8
2000,1100114,2976.0,2466.4,,464.7,0.0,0.1,44.8,0.0
2001,1100114,2976.0,2511.3,44.9,419.8,0.0,0.1,44.8,0.0
2002,1100114,2976.0,2544.3,33.1,386.8,0.0,0.1,44.8,0.0
2003,1100114,2976.0,2572.3,28.0,358.8,0.0,0.1,44.8,0.0
2004,1100114,2976.0,2589.2,16.9,341.9,0.0,0.1,44.8,0.0
2005,1100114,2976.0,2603.5,14.3,327.6,0.0,0.1,44.8,0.0
2006,1100114,2976.0,2607.6,4.1,323.5,0.0,0.1,44.8,0.0
2007,1100114,2976.0,2611.8,4.2,319.4,0.0,0.0,44.8,0.0
2008,1100114,2976.0,2614.4,2.6,316.7,0.0,0.1,44.8,0.0
2009,1100114,2976.0,2616.1,1.7,315.0,0.0,0.1,44.8,0.0
2010,1100114,2976.0,2616.3,0.2,314.8,0.0,0.1,44.8,0.0
2011,1100114,2976.0,2617.2,0.9,310.0,3.9,0.1,44.8,0.0
2012,1100114,2976.0,2617.6,0.4,313.5,0.0,0.1,44.8,0.0
2013,1100114,2976.0,2617.9,0.3,312.3,1.0,0.0,44.8,0.0
2014,1100114,2976.0,2619.1,1.3,312.0,0.0,0.1,44.8,0.0
2015,1100114,2976.0,2621.1,2.0,310.1,0.0,0.0,44.8,0.0
2016,1100114,2976.0,2622.7,1.6,308.5,0.0,0.0,44.8,0.0
2017,1100114,2976.0,2624.8,2.1,306.4,0.0,0.0,44.8,0.0
2018,1100114,2976.0,2626.4,1.6,304.8,0.0,0.0,44.8,0.0
2019,1100114,2976.0,2628.7,2.3,302.5,0.0,0.0,44.8,0.0
2000,1100122,6955.0,2461.9,,4389.4,0.0,2.1,66.3,35.3
2001,1100122,6955.0,2491.5,29.6,4359.8,0.0,2.1,66.3,35.3
2002,1100122,6955.0,2514.4,22.9,4336.9,0.0,2.1,66.3,35.3
2003,1100122,6955.0,2552.1,37.7,4299.2,0.0,2.1,66.3,35.3
2004,1100122,6955.0,2568.1,16.0,4283.2,0.0,2.1,66.3,35.3
2005,1100122,6955.0,2581.2,13.2,4270.1,0.0,2.1,66.3,35.3
2006,1100122,6955.0,2586.0,4.8,4265.3,0.0,2.1,66.3,35.3
2007,1100122,6955.0,2589.0,3.0,4262.5,0.0,1.9,66.3,35.3
2008,1100122,6955.0,2595.1,6.1,4256.3,0.0,2.0,66.3,35.3
2009,1100122,6955.0,2600.4,5.3,4250.3,0.9,1.8,66.3,35.3
2010,1100122,6955.0,2601.2,0.8,4250.0,0.0,2.2,66.3,35.3
2011,1100122,6955.0,2602.4,1.2,4230.0,18.9,2.1,66.3,35.3
2012,1100122,6955.0,2604.0,1.6,4247.4,0.0,2.0,66.3,35.3
2013,1100122,6955.0,2606.7,2.7,4244.6,0.0,2.1,66.3,35.3
2014,1100122,6955.0,2607.2,0.5,4244.1,0.0,2.1,66.3,35.3
2015,1100122,6955.0,2608.5,1.3,4244.9,0.0,0.0,66.3,35.3
2016,1100122,6955.0,2611.6,3.1,4241.8,0.0,0.0,66.3,35.3
2017,1100122,6955.0,2612.9,1.3,4240.5,0.0,0.0,66.3,35.3
2018,1100122,6955.0,2614.1,1.3,4239.3,0.0,0.0,66.3,35.3
2019,1100122,6955.0,2617.6,3.4,4235.8,0.0,0.0,66.3,35.3
2000,1100130,8590.0,1558.8,,6587.9,0.0,0.0,385.4,57.9
2001,1100130,8590.0,1719.9,161.1,6426.8,0.0,0.0,385.4,57.9
2002,1100130,8590.0,1893.0,173.1,6253.7,0.0,0.0,385.4,57.9
2003,1100130,8590.0,2090.9,197.9,6055.8,0.0,0.0,385.4,57.9
2004,1100130,8590.0,2275.7,184.8,5871.0,0.0,0.0,385.4,57.9
2005,1100130,8590.0,2518.2,242.5,5628.5,0.0,0.0,385.4,57.9
2006,1100130,8590.0,2633.9,115.7,5506.4,6.4,0.0,385.4,57.9
2007,1100130,8590.0,2712.9,79.0,5433.8,0.0,0.0,385.4,57.9
2008,1100130,8590.0,2766.0,53.1,5380.7,0.0,0.0,385.4,57.9
2009,1100130,8590.0,2794.9,28.9,5351.8,0.0,0.0,385.4,57.9
2010,1100130,8590.0,2813.2,18.3,5333.5,0.0,0.0,385.4,57.9
2011,1100130,8590.0,2867.8,54.6,5278.7,0.2,0.0,385.4,57.9
2012,1100130,8590.0,2935.2,67.3,5211.5,0.0,0.0,385.4,57.9
2013,1100130,8590.0,3016.3,81.2,5130.4,0.0,0.0,385.4,57.9
2014,1100130,8590.0,3077.7,61.4,4557.8,511.2,0.0,385.4,57.9
2015,1100130,8590.0,3176.0,98.3,4970.7,0.0,0.0,385.4,57.9
2016,1100130,8590.0,3269.7,93.7,4877.0,0.0,0.0,385.4,57.9
2017,1100130,8590.0,3369.1,99.4,4777.6,0.0,0.0,385.4,57.9
2018,1100130,8590.0,3443.3,74.4,4703.4,0.0,0.0,385.4,57.9
2019,1100130,8590.0,3523.3,79.9,4623.4,0.0,0.0,385.4,57.9
2000,1100148,1167.0,790.4,,311.5,0.0,0.0,65.1,0.0
2001,1100148,1167.0,814.8,24.4,287.1,0.0,0.0,65.1,0.0
2002,1100148,1167.0,827.6,12.8,274.3,0.0,0.0,65.1,0.0
2003,1100148,1167.0,844.1,16.4,257.8,0.0,0.0,65.1,0.0
2004,1100148,1167.0,860.8,16.7,241.1,0.0,0.0,65.1,0.0
2005,1100148,1167.0,876.5,15.8,225.4,0.0,0.0,65.1,0.0
2006,1100148,1167.0,879.1,2.6,222.8,0.0,0.0,65.1,0.0
2007,1100148,1167.0,882.3,3.2,219.6,0.0,0.0,65.1,0.0
2008,1100148,1167.0,890.1,7.8,211.8,0.0,0.0,65.1,0.0
2009,1100148,1167.0,891.8,1.7,210.1,0.0,0.0,65.1,0.0
2010,1100148,1167.0,893.1,1.4,208.8,0.0,0.0,65.1,0.0
2011,1100148,1167.0,896.5,3.4,205.4,0.0,0.0,65.1,0.0
2012,1100148,1167.0,898.1,1.7,203.8,0.0,0.0,65.1,0.0
2013,1100148,1167.0,899.3,1.1,202.6,0.0,0.0,65.1,0.0
2014,1100148,1167.0,900.7,1.5,201.2,0.0,0.0,65.1,0.0
2015,1100148,1167.0,901.6,0.9,200.3,0.0,0.0,65.1,0.0
2016,1100148,1167.0,902.9,1.3,199.0,0.0,0.0,65.1,0.0
2017,1100148,1167.0,904.8,1.9,197.1,0.0,0.0,65.1,0.0
2018,1100148,1167.0,905.5,0.8,196.4,0.0,0.0,65.1,0.0
2019,1100148,1167.0,909.2,3.6,192.7,0.0,0.0,65.1,0.0
2000,1100155,1990.0,1683.1,,289.6,0.0,0.3,15.9,1.1
2001,1100155,1990.0,1700.6,17.5,272.1,0.0,0.3,15.9,1.1
2002,1100155,1990.0,1712.0,11.5,260.7,0.0,0.3,15.9,1.1
2003,1100155,1990.0,1730.0,18.0,242.7,0.0,0.3,15.9,1.1
2004,1100155,1990.0,1732.7,2.7,240.0,0.0,0.3,15.9,1.1
2005,1100155,1990.0,1736.3,3.5,236.4,0.0,0.3,15.9,1.1
2006,1100155,1990.0,1737.4,1.1,235.3,0.0,0.3,15.9,1.1
2007,1100155,1990.0,1740.9,3.5,231.8,0.0,0.3,15.9,1.1
2008,1100155,1990.0,1742.2,1.3,230.5,0.0,0.3,15.9,1.1
2009,1100155,1990.0,1742.7,0.5,230.0,0.0,0.3,15.9,1.1
2010,1100155,1990.0,1742.7,0.0,230.0,0.0,0.3,15.9,1.1
2011,1100155,1990.0,1742.8,0.1,225.9,4.0,0.3,15.9,1.1
2012,1100155,1990.0,1743.4,0.5,229.3,0.0,0.3,15.9,1.1
2013,1100155,1990.0,1743.9,0.5,228.8,0.0,0.3,15.9,1.1
2014,1100155,1990.0,1744.2,0.3,228.5,0.0,0.3,15.9,1.1
2015,1100155,1990.0,1744.5,0.3,228.5,0.0,0.0,15.9,1.1
2016,1100155,1990.0,1752.8,8.3,220.2,0.0,0.0,15.9,1.1
2017,1100155,1990.0,1787.0,34.2,186.0,0.0,0.0,15.9,1.1
2018,1100155,1990.0,1811.1,24.2,161.8,0.0,0.0,15.9,1.2
2019,1100155,1990.0,1833.8,22.7,139.1,0.0,0.0,15.9,1.2
2000,1100189,6280.0,1823.7,,3404.4,0.0,0.0,1046.7,5.2
2001,1100189,6280.0,1895.2,71.4,3332.9,0.0,0.0,1046.7,5.2
2002,1100189,6280.0,1938.7,43.5,3289.4,0.0,0.0,1046.7,5.2
2003,1100189,6280.0,2035.7,97.0,3192.4,0.0,0.0,1046.7,5.2
2004,1100189,6280.0,2143.7,108.0,3084.4,0.0,0.0,1046.7,5.2
2005,1100189,6280.0,2248.9,105.3,2979.2,0.0,0.0,1046.7,5.2
2006,1100189,6280.0,2270.5,21.6,2957.6,0.0,0.0,1046.7,5.2
2007,1100189,6280.0,2314.2,43.7,2913.9,0.0,0.0,1046.7,5.2
2008,1100189,6280.0,2357.6,43.4,2870.5,0.0,0.0,1046.7,5.2
2009,1100189,6280.0,2371.8,14.2,2853.9,2.4,0.0,1046.7,5.2
2010,1100189,6280.0,2375.9,4.1,2852.2,0.0,0.0,1046.7,5.2
2011,1100189,6280.0,2380.2,4.3,2847.9,0.0,0.0,1046.7,5.2
2012,1100189,6280.0,2412.9,32.6,2813.2,2.0,0.0,1046.7,5.2
2013,1100189,6280.0,2419.3,6.4,2808.8,0.0,0.0,1046.7,5.2
2014,1100189,6280.0,2423.2,4.0,2804.9,0.0,0.0,1046.7,5.2
2015,1100189,6280.0,2429.8,6.5,2798.3,0.0,0.0,1046.7,5.2
2016,1100189,6280.0,2440.0,10.2,2788.1,0.0,0.0,1046.7,5.2
2017,1100189,6280.0,2462.5,22.5,2765.6,0.0,0.0,1046.7,5.2
2018,1100189,6280.0,2482.7,20.3,2745.4,0.0,0.0,1046.7,5.2
2019,1100189,6280.0,2503.1,20.5,2725.0,0.0,0.0,1046.7,5.2
2000,1100205,34631.0,3888.3,,29536.3,0.0,23.4,431.9,751.1
2001,1100205,34631.0,4220.8,332.6,29203.8,0.0,23.4,431.9,751.1
2002,1100205,34631.0,4633.8,413.0,28790.8,0.0,23.4,431.9,751.1
2003,1100205,34631.0,5124.8,490.9,28299.8,0.0,23.4,431.9,751.1
2004,1100205,34631.0,5885.7,761.0,27538.9,0.0,23.4,431.9,751.1
2005,1100205,34631.0,6545.6,659.9,26879.0,0.0,23.4,431.9,751.1
2006,1100205,34631.0,6908.5,362.9,26502.4,13.7,23.4,431.9,751.1
2007,1100205,34631.0,7341.4,432.9,26051.9,33.0,21.7,431.9,751.1
2008,1100205,34631.0,7555.7,214.2,24925.9,938.4,28.0,431.9,751.1
2009,1100205,34631.0,7662.0,106.3,25647.5,103.4,35.1,431.9,751.1
2010,1100205,34631.0,7797.0,135.0,25574.8,48.8,27.4,431.9,751.1
2011,1100205,34631.0,8121.8,324.9,25298.1,0.9,27.2,431.9,751.1
2012,1100205,34631.0,8317.6,195.8,25101.0,5.7,23.7,431.9,751.1
2013,1100205,34631.0,8633.3,315.6,24762.5,31.2,21.0,431.9,751.1
2014,1100205,34631.0,8858.2,224.9,24386.2,180.7,22.9,431.9,751.1
2015,1100205,34631.0,9147.4,289.2,23631.8,668.8,0.0,431.9,751.1
